curve_id,path,relative_path,file_name,structure,crystallinity_pct,crystallinity,deformation_rate_label,deformation_rate,n_raw,n_original,n_smoothed,n_cut,yield_strain,yield_stress,youngs_modulus,end_linear_strain,end_linear_stress,ultimate_strain,ultimate_stress
random_ipp_40_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_40/in.def_2.4e-7/Tau.evol,random/ipp_40/in.def_2.4e-7/Tau.evol,Tau.evol,random,40,0.4,2.4e-7,2.4e-07,4000,1445,1445,1428,0.18264999999999998,45.13411377091668,652.3726983032237,0.048920000000000075,33.727343475,2.93409,88.071183375
random_ipp_40_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_40/in.def_7.4e-7/Tau.evol,random/ipp_40/in.def_7.4e-7/Tau.evol,Tau.evol,random,40,0.4,7.4e-7,7.4e-07,4000,469,469,469,0.1794199999999999,51.960506333018515,689.6289578391811,0.06020000000000003,44.619983625,2.99299,94.3850481
random_ipp_40_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_40/in.def_7.4e-8/Tau.evol,random/ipp_40/in.def_7.4e-8/Tau.evol,Tau.evol,random,40,0.4,7.4e-8,7.4e-08,4000,4001,4001,4001,0.09278000000000008,34.999974654643104,600.8656039212007,0.03854000000000002,26.148132150000002,2.26718,81.302065425
random_ipp_50_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_50/in.def_2.4e-7/Tau.evol,random/ipp_50/in.def_2.4e-7/Tau.evol,Tau.evol,random,50,0.5,2.4e-7,2.4e-07,4000,1445,1445,1445,0.19177,43.36665639142059,598.7044885054547,0.05295000000000005,31.10778825,2.99882,83.714208375
random_ipp_50_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_50/in.def_7.4e-7/Tau.evol,random/ipp_50/in.def_7.4e-7/Tau.evol,Tau.evol,random,50,0.5,7.4e-7,7.4e-07,4000,469,469,469,0.10505999999999993,49.6117677217549,633.7820586311443,0.07282999999999995,45.455813549999995,2.99299,85.77465225
random_ipp_50_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_50/in.def_7.4e-8/Tau.evol,random/ipp_50/in.def_7.4e-8/Tau.evol,Tau.evol,random,50,0.5,7.4e-8,7.4e-08,4000,4001,4001,4001,0.12162000000000006,39.89299090667622,503.090770135441,0.056519999999999904,28.801935224999998,2.26718,66.0270177
random_ipp_60_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_60/in.def_2.4e-7/Tau.evol,random/ipp_60/in.def_2.4e-7/Tau.evol,Tau.evol,random,60,0.6,2.4e-7,2.4e-07,4000,1445,1445,1445,0.10579000000000005,41.12536147139088,743.0830965392247,0.04590000000000005,31.468099949999996,2.99882,92.3086962
random_ipp_60_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_60/in.def_7.4e-7/Tau.evol,random/ipp_60/in.def_7.4e-7/Tau.evol,Tau.evol,random,60,0.6,7.4e-7,7.4e-07,4000,469,469,469,0.12153999999999998,47.82517947260868,787.0048584366449,0.057069999999999954,42.821870175,2.99299,90.07174417499999
random_ipp_60_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_60/in.def_7.4e-8/Tau.evol,random/ipp_60/in.def_7.4e-8/Tau.evol,Tau.evol,random,60,0.6,7.4e-8,7.4e-08,4000,4001,4001,3827,0.09278000000000008,34.05516252943868,704.6459559237575,0.037309999999999954,24.294391275,2.10316,72.09496665
random_ipp_70_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_70/in.def_2.4e-7/Tau.evol,random/ipp_70/in.def_2.4e-7/Tau.evol,Tau.evol,random,70,0.7,2.4e-7,2.4e-07,4000,1445,1445,1445,0.10898000000000008,43.031521440241185,684.2460751953491,0.04590000000000005,30.76652565,2.99882,82.51816807499999
random_ipp_70_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_70/in.def_7.4e-7/Tau.evol,random/ipp_70/in.def_7.4e-7/Tau.evol,Tau.evol,random,70,0.7,7.4e-7,7.4e-07,4000,469,469,469,0.15866000000000002,49.83705584909122,747.0920161317506,0.057069999999999954,38.82348435,2.99299,85.5255954
random_ipp_70_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_70/in.def_7.4e-8/Tau.evol,random/ipp_70/in.def_7.4e-8/Tau.evol,Tau.evol,random,70,0.7,7.4e-8,7.4e-08,4000,4001,4001,3847,0.15327000000000002,36.22439636138164,676.2671338010202,0.03180000000000005,19.852303275,2.12159,64.3551552
random_ipp_80_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_80/in.def_2.4e-7/Tau.evol,random/ipp_80/in.def_2.4e-7/Tau.evol,Tau.evol,random,80,0.8,2.4e-7,2.4e-07,4000,1445,1445,1445,0.20673999999999992,39.051947641134085,684.1019870183727,0.04188999999999998,24.89778165,2.99882,63.037220925
random_ipp_80_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_80/in.def_7.4e-7/Tau.evol,random/ipp_80/in.def_7.4e-7/Tau.evol,Tau.evol,random,80,0.8,7.4e-7,7.4e-07,4000,469,469,469,0.08560999999999996,42.58885998518545,659.1980832998826,0.06335000000000002,38.670382275,2.99299,64.29496815
random_ipp_80_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_80/in.def_7.4e-8/Tau.evol,random/ipp_80/in.def_7.4e-8/Tau.evol,Tau.evol,random,80,0.8,7.4e-8,7.4e-08,4000,4001,4001,4001,0.09375,30.063916422895346,480.3253762432834,0.05621000000000009,26.10314385,2.26718,47.212079775
random_ipp_90_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_90/in.def_2.4e-7/Tau.evol,random/ipp_90/in.def_2.4e-7/Tau.evol,Tau.evol,random,90,0.9,2.4e-7,2.4e-07,4000,1445,1445,1407,0.14687000000000006,40.698981826090645,775.3456393602236,0.038899999999999935,31.320266775000004,2.85558,75.00654052499999
random_ipp_90_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_90/in.def_7.4e-7/Tau.evol,random/ipp_90/in.def_7.4e-7/Tau.evol,Tau.evol,random,90,0.9,7.4e-7,7.4e-07,4000,469,469,469,0.09854000000000007,42.53783047761221,602.7455640657388,0.06020000000000003,41.007950025,2.99299,74.960336325
random_ipp_90_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_90/in.def_7.4e-8/Tau.evol,random/ipp_90/in.def_7.4e-8/Tau.evol,Tau.evol,random,90,0.9,7.4e-8,7.4e-08,4000,4001,4001,3703,0.14782000000000006,35.50273732633175,723.9234897253516,0.03302000000000005,26.2480386,1.99133,55.792483425
